access_requirement,agent_specific_excerpt,citation_supports_title,currentness_status,display_title_en,display_title_zh,evidence_grade,evidence_ids,geography,last_verified_at,limitations,organization_id,product_id,role_id,schema_version,source_urls,team_id,title,title_source_granularity,title_source_url,title_support_status,title_translation_status
public_no_login,"Lightsprint is an active three-person San Francisco team planning, previewing and shipping product work with parallel cloud Agents, human approvals, preview environments and collaborative product workflows.",true,current_verified,Founding Product Designer,创始 产品设计师,A,"[""AMC-7102""]",Unknown,2026-08-05,"[""bounded_public_source_validation_not_market_complete"",""publication_completeness_review_2026_08_05""]",ORG-E7639E102CC2D870,PROD-22C93C017D1B425B,ROLE-000AFADBAE7AA4ED,agent-hiring-map-public/1.0,"[""https://www.ycombinator.com/companies/lightsprint/jobs/V0X6vAr-founding-product-designer""]",TEAM-7944C411BD3B25B6,Founding Product Designer,direct_role_detail,https://www.ycombinator.com/companies/lightsprint/jobs/V0X6vAr-founding-product-designer,verified_official_title,deterministic_bilingual_translation_v1
public_no_login,"We're building AI agents that make real-time, data-driven decisions across entire customer journeys.",true,current_verified,"Senior Product Designer, AI Creative Tools",高级 产品设计师，AI 创意 工具,A,"[""AMC-5552""]",Other/Global,2026-08-05,"[""bounded_public_source_validation_not_market_complete"",""publication_completeness_review_2026_08_05""]",ORG-5B1A32F8BCDDE23E,PROD-CC9190ECE11B44F3,ROLE-006E50949856FA4E,agent-hiring-map-public/1.0,"[""https://job-boards.greenhouse.io/hightouch/jobs/6103070004""]",TEAM-CC9190ECE11B44F3,"Senior Product Designer, AI Creative Tools",direct_role_detail,https://job-boards.greenhouse.io/hightouch/jobs/6103070004,verified_official_title,deterministic_bilingual_translation_v1
public_no_login,Spur's current founding infra/backend engineer builds and scales cloud infrastructure that runs thousands of browser and web Agents for natural-language end-to-end testing.,true,current_verified,"Founding Engineer, Infrastructure / Backend",创始 工程师，基础设施 / Backend,A,"[""AMC-7046""]",Unknown,2026-08-05,"[""bounded_public_source_validation_not_market_complete"",""publication_completeness_review_2026_08_05""]",ORG-D39D6D12D2E27C23,PROD-3090C6E462111C5B,ROLE-00D7063E3A5F70B9,agent-hiring-map-public/1.0,"[""https://www.ycombinator.com/companies/spur/jobs/cQGJFb3-founding-engineer-infra-backend-spur""]",TEAM-D2DF1FA39240A80F,"Founding Engineer, Infrastructure / Backend",direct_role_detail,https://www.ycombinator.com/companies/spur/jobs/cQGJFb3-founding-engineer-infra-backend-spur,verified_official_title,deterministic_bilingual_translation_v1
public_no_login,Official current role hires Forward Deployed Engineer - production underwriting Agents to make AI underwriting Agents deliver in production for customers.,true,current_verified,Forward Deployed Engineer,前线部署工程师,A,"[""AMC-1814""]",Unknown,2026-08-05,"[""bounded_public_source_validation_not_market_complete"",""publication_completeness_review_2026_08_05""]",ORG-FA7628FF5A312527,PROD-976969B90BB52840,ROLE-00DADD1775ED37F4,agent-hiring-map-public/1.0,"[""https://job-boards.greenhouse.io/sixfold/jobs/5234031008""]",TEAM-976969B90BB52840,Forward Deployed Engineer,direct_role_detail,https://job-boards.greenhouse.io/sixfold/jobs/5234031008,verified_official_title,deterministic_bilingual_translation_v1
public_no_login,负责AI智能体产品的整体规划、功能设计和迭代路线图，确保产品技术方案与业务目标紧密对齐。,true,current_verified,AI Product Research and Development Architect,AI产品研发架构师,A,"[""AMC-6632""]",Unknown,2026-08-05,"[""bounded_public_source_validation_not_market_complete"",""publication_completeness_review_2026_08_05""]",ORG-4534C05BE9CFDFD9,PROD-029535A5482D5627,ROLE-013B655343DC7325,agent-hiring-map-public/1.0,"[""https://www.info2soft.cn/joinus/social-recruitment/ai-product-rd-architect""]",TEAM-0804BBE9293B487E,AI产品研发架构师,direct_role_detail,https://www.info2soft.cn/joinus/social-recruitment/ai-product-rd-architect,verified_official_title,deterministic_bilingual_translation_v1
public_no_login,"Agentic and AI security: securing LLM- and agent-based systems (prompt injection, tool/MCP security, sandboxing, guardrails), plus building autonomous agents that perform security work.",true,current_verified,Senior Lead Application Security Engineer,高级 负责人 应用 安全工程师,A,"[""AMC-5274""]",Canada,2026-08-05,"[""bounded_public_source_validation_not_market_complete"",""publication_completeness_review_2026_08_05""]",ORG-400030C8E01D28BE,PROD-36E785B0AD7FBCFE,ROLE-016208FFD04ACD26,agent-hiring-map-public/1.0,"[""https://jobs.smartrecruiters.com/IFS1/744000134306281-senior-lead-application-security-engineer""]",TEAM-36E785B0AD7FBCFE,Senior Lead Application Security Engineer,direct_role_detail,https://jobs.smartrecruiters.com/IFS1/744000134306281-senior-lead-application-security-engineer,verified_official_title,deterministic_bilingual_translation_v1
public_no_login,设计 AI Agent 在任务理解、计划生成、工具调用、过程追踪、结果交付、异常处理和人工接管等关键环节中的交互体验,true,current_verified,Product Designer,产品设计师,A,"[""AMC-1289""]",Unknown,2026-08-05,"[""bounded_public_source_validation_not_market_complete"",""publication_completeness_review_2026_08_05""]",ORG-B7F8DFC2578DDA24,PROD-BBD32D314125FC3E,ROLE-01D7AC8ADDB4AE55,agent-hiring-map-public/1.0,"[""https://01ai.jobs.feishu.cn/index/position/7652612265690253609/detail""]",TEAM-10C405784F542C45,产品设计师,direct_role_detail,https://01ai.jobs.feishu.cn/index/position/7652612265690253609/detail,verified_official_title,deterministic_bilingual_translation_v1
public_no_login,"Drive product strategy and roadmap for developer acceleration, including AI-assisted code review, agent-driven test generation",true,current_verified,"Product Manager, Developer Productivity",产品经理，开发者生产力,A,"[""AMC-6123""]",Unknown,2026-08-05,"[""bounded_public_source_validation_not_market_complete"",""publication_completeness_review_2026_08_05""]",ORG-744205E43529C1FC,PROD-FDD9CDE6A6F9BDFB,ROLE-027D7E7876B586EE,agent-hiring-map-public/1.0,"[""https://job-boards.greenhouse.io/anthropic/jobs/5220143008""]",TEAM-A6A6891ED31429E7,"Product Manager, Developer Productivity",direct_role_detail,https://job-boards.greenhouse.io/anthropic/jobs/5220143008,verified_official_title,deterministic_bilingual_translation_v1
public_no_login,负责各AI Native / AI Agent产品的服务端开发。,true,current_verified,AGI Backend Engineer (AI Agent / AI App),AGI 服务端工程师 （AI Agent / AI App）,A,"[""AMC-1249""]",Unknown,2026-08-05,"[""bounded_public_source_validation_not_market_complete"",""publication_completeness_review_2026_08_05""]",ORG-B248F2E01881F536,PROD-464162D2110AFF9D,ROLE-02D862B760CA73A3,agent-hiring-map-public/1.0,"[""https://vrfi1sk8a0.jobs.feishu.cn/index/position/7494586225161046282/detail""]",TEAM-CA43507C9674341D,AGI 服务端工程师 （AI Agent / AI App）,direct_role_detail,https://vrfi1sk8a0.jobs.feishu.cn/index/position/7494586225161046282/detail,verified_official_title,deterministic_bilingual_translation_v1
public_no_login,build the primitives agents will use to communicate | Design APIs...for...AI Agents,true,current_verified,Founding Engineer,创始 工程师,A,"[""AMC-1437""]",Unknown,2026-08-05,"[""bounded_public_source_validation_not_market_complete"",""publication_completeness_review_2026_08_05""]",ORG-D5B06FB0A58C9A5D,PROD-1E920EBE05CBA2DC,ROLE-02E566FDCF6A101B,agent-hiring-map-public/1.0,"[""https://jobs.ashbyhq.com/AgentMail/6e99881b-595c-44e0-8f82-eb431ef98623""]",TEAM-74F5A33EF9274AAA,Founding Engineer,direct_role_detail,https://jobs.ashbyhq.com/AgentMail/6e99881b-595c-44e0-8f82-eb431ef98623,verified_official_title,deterministic_bilingual_translation_v1
