schema_version,product_id,organization_id,name,agent_category,official_url,status,confidence,evidence_ids,version
agent-hiring-map-public/1.0,PROD-0028F123C181CCD0,ORG-B7F8DFC2578DDA24,General Agent Platform / Agent Builder,builder_platform,https://www.lingyiwanwu.com/,active,0.95,"[""AMC-0100""]",1
agent-hiring-map-public/1.0,PROD-002B10E0A2D1AD96,ORG-A11413B0A4A315C2,Staff FinOps AI Governance Lead,infra_evals,https://www.servicenow.com/,active,0.95,"[""AMC-5414""]",1
agent-hiring-map-public/1.0,PROD-002DABD35633E507,ORG-AEF38CBC5445CF75,【Ace顶尖实习生】GUI Agent在App自动化领域的研究与应用,cx_voice,null,active,0.95,"[""AMC-0973""]",1
agent-hiring-map-public/1.0,PROD-004CC0EE7778D641,ORG-773573DF61D0529B,大模型算法工程师 / 专家 - XPeng embodied/physical-AI product or infrastructure high-recall locator,infra_evals,https://www.xiaopeng.com/,active,0.95,"[""AMC-4978""]",1
agent-hiring-map-public/1.0,PROD-005A81FB3915416F,ORG-6EEF29B22D48714F,（可灵 AI 专项）AIGC Agent 系统开发实习生 / Creative / Multimodal Agent,data_rag,https://www.kuaishou.com/,active,0.95,"[""AMC-1105""]",1
agent-hiring-map-public/1.0,PROD-005D2389F79C4803,ORG-13E33D91B64DDA5E,Senior Technical Solutions Consultant for Agent Assist / Applied AI,general_other,https://cloud.google.com/gemini-enterprise,active,0.95,"[""AMC-0573""]",1
agent-hiring-map-public/1.0,PROD-00DF46F245075FF0,ORG-14550D0C8F25A0F3,AI 应用工程师（游戏策划客户端Agent方向） / Coding Agent / Developer Productivity,coding,null,active,0.95,"[""AMC-1148""]",1
agent-hiring-map-public/1.0,PROD-00F115F43B7B9AB1,ORG-8BA348A1B17D374B,multi-Agent embedded-insurance and autonomous-mobility systems,enterprise_workflow,null,active,0.95,"[""AMC-7122""]",1
agent-hiring-map-public/1.0,PROD-012B5F6FCC46C24D,ORG-A11413B0A4A315C2,"Principal Product Designer, Moveworks",enterprise_workflow,https://www.servicenow.com/,active,0.95,"[""AMC-5379""]",1
agent-hiring-map-public/1.0,PROD-015200099AEBCFAE,ORG-744205E43529C1FC,"Engineering Manager, GRC Platform | Anthropic current Agent system or Agent-enabled workflow role family",infra_evals,null,active,0.95,"[""AMC-6089""]",1
agent-hiring-map-public/1.0,PROD-018DA1E844B3E32E,ORG-4BF9DD96A0D43538,Real Estate Lending LLM-driven AI agents,data_rag,null,active,0.95,"[""AMC-7084""]",1
agent-hiring-map-public/1.0,PROD-0190BF62A95AA6CD,ORG-08907F63DD23BADD,employee-interview Agent for process mapping and bottleneck discovery,enterprise_workflow,https://www.ycombinator.com/companies/ontora,active,0.95,"[""AMC-7022""]",1
agent-hiring-map-public/1.0,PROD-01AE61F1C7C0DDD2,ORG-744205E43529C1FC,"Threat Intel Manager, Influence Operations & Surveillance | Anthropic current Agent system or Agent-enabled workflow role family",infra_evals,null,active,0.95,"[""AMC-6146""]",1
