schema_version,evidence_id,geography_bucket,coverage_scope,organization_observed,parent_organization_inferred,product_or_work_surface,source_class,source_urls,attribution,access_requirement,observed_at,evidence_grade,evidence_kind,public_excerpt,quote_publication_status,limitations
agent-hiring-map-public/1.0,AMC-0001,China,canonical_map_scope,360 纳米 AI 搜索,,Data / Knowledge / RAG Agent,official_or_first_party,"[""https://hr.360.cn/"",""https://www.n.cn/""]",360 纳米 AI 搜索,public_no_login,2026-07-11,B,product_signal,事实: 纳米 AI 搜索官网写智能搜索、答案引擎、分析视频/PDF/网页; 推断: 可产出搜索报告、思维导图、资料分析; 未知: 具体团队岗位需人工筛; URL复核: 招聘/岗位 URL curl 跳转 1 次，最终 URL: https://hr.360.cn/hr/，需人工浏览器复核,minimal_attributed_excerpt,"[""no_exact_role_quote"",""no_role_url""]"
agent-hiring-map-public/1.0,AMC-0002,China,canonical_map_scope,CodeFuse,,Coding Agent / Developer Tool,official_or_first_party,"[""https://codefuse.ai/zh-CN/"",""https://talent.antgroup.com/""]",CodeFuse,public_no_login,2026-07-11,B,product_signal,事实: 官网写开源 AI 智能助手和 DevOps 生命周期; 推断: 可做 DevOps/研发智能体产物; 未知: 具体岗位需人工筛,minimal_attributed_excerpt,"[""no_exact_role_quote"",""no_role_url""]"
agent-hiring-map-public/1.0,AMC-0003,China,canonical_map_scope,CodeGeeX,,Coding Agent / Developer Tool,held_or_unclassified,"[""https://codegeex.cn/"",""https://www.zhipuai.cn/zh/joinus""]",CodeGeeX,public_no_login,2026-07-08,B,source_locator,,withheld_source_policy,"[""no_exact_role_quote"",""unresolved_or_unknown"",""publication_boundary_hold""]"
agent-hiring-map-public/1.0,AMC-0004,China,canonical_map_scope,DataFocus,,Data / Knowledge / RAG Agent,held_or_unclassified,"[""https://www.datafocus.ai/""]",DataFocus,user_assisted_auth,2026-07-08,C,source_locator,,withheld_source_policy,"[""no_exact_role_quote"",""no_role_url"",""access_limited"",""unresolved_or_unknown"",""publication_boundary_hold""]"
agent-hiring-map-public/1.0,AMC-0005,China,canonical_map_scope,DeepSeek,,General Agent Platform / Agent Builder,held_or_unclassified,"[""https://talent.deepseek.com/"",""https://www.deepseek.com/""]",DeepSeek,public_no_login,2026-07-07,A,source_locator,,withheld_source_policy,"[""publication_boundary_hold""]"
agent-hiring-map-public/1.0,AMC-0006,China,canonical_map_scope,Dify / LangGenius,,General Agent Platform / Agent Builder,held_or_unclassified,"[""https://dify.ai/zh"",""https://join.dify.ai/""]",Dify / LangGenius,public_no_login,2026-07-07,A,source_locator,,withheld_source_policy,"[""publication_boundary_hold""]"
agent-hiring-map-public/1.0,AMC-0007,China,canonical_map_scope,e签宝 AI 合同,,Legal / Compliance / Insurance Agent,held_or_unclassified,"[""https://www.esign.cn/""]",e签宝 AI 合同,public_no_login,2026-07-08,C,source_locator,,withheld_source_policy,"[""no_exact_role_quote"",""no_role_url"",""unresolved_or_unknown"",""publication_boundary_hold""]"
agent-hiring-map-public/1.0,AMC-0008,China,canonical_map_scope,FastGPT,,General Agent Platform / Agent Builder,held_or_unclassified,"[""https://fastgpt.io/"",""https://fastgpt.io/zh""]",FastGPT,public_no_login,2026-07-07,A,source_locator,,withheld_source_policy,"[""publication_boundary_hold""]"
agent-hiring-map-public/1.0,AMC-0009,China,canonical_map_scope,Fitten Code,,Coding Agent / Developer Tool,held_or_unclassified,"[""https://code.fittentech.com/"",""https://www.fittentech.com/""]",Fitten Code,public_no_login,2026-07-08,C,source_locator,,withheld_source_policy,"[""no_exact_role_quote"",""no_role_url"",""unresolved_or_unknown"",""publication_boundary_hold""]"
agent-hiring-map-public/1.0,AMC-0010,China,canonical_map_scope,iCourt Alpha,,Legal / Compliance / Insurance Agent,held_or_unclassified,"[""https://www.icourt.cc/""]",iCourt Alpha,public_no_login,2026-07-08,C,source_locator,,withheld_source_policy,"[""no_exact_role_quote"",""no_role_url"",""unresolved_or_unknown"",""publication_boundary_hold""]"
